010002001012045001001,爱心卡,口语交际,010002001012045001
010002001012045002001,1、民族小学,课文（一）,010002001012045002
010002001012045002002,2、绿色的竹楼,课文（一）,010002001012045002
010002001012045002003,3、洞庭鱼米乡,课文（一）,010002001012045002
010002001012045002004,4、家,课文（一）,010002001012045002
010002001012045002005,写话,课文（一）,010002001012045002
010002001012045002006,语文活动1,课文（一）,010002001012045002
010002001012045002007,单元复习,课文（一）,010002001012045002
010002001012045003001,识字1,识字（一）,010002001012045003
010002001012045003002,识字2,识字（一）,010002001012045003
010002001012045003003,识字3,识字（一）,010002001012045003
010002001012045003004,识字4,识字（一）,010002001012045003
010002001012045003005,语文活动2,识字（一）,010002001012045003
010002001012045003006,单元复习,识字（一）,010002001012045003
010002001012045004001,秋天的树叶,口语交际,010002001012045004
010002001012045005001,5、古诗二首,课文（二）,010002001012045005
010002001012045005002,6、丰收的画,课文（二）,010002001012045005
010002001012045005003,7、大太阳的小房子,课文（二）,010002001012045005
010002001012045005004,8、祖先的摇篮,课文（二）,010002001012045005
010002001012045005005,写话,课文（二）,010002001012045005
010002001012045005006,语文活动3,课文（二）,010002001012045005
010002001012045005007,单元复习,课文（二）,010002001012045005
010002001012045006001,游戏真好玩,口语交际,010002001012045006
010002001012045007001,9、种窗帘,课文（三）,010002001012045007
010002001012045007002,10、故事大王的故事,课文（三）,010002001012045007
010002001012045007003,11、小姑娘的朋友,课文（三）,010002001012045007
010002001012045007004,写话,课文（三）,010002001012045007
010002001012045007005,语文活动4,课文（三）,010002001012045007
010002001012045007006,单元复习,课文（三）,010002001012045007
010002001012045008001,小青蛙找新家,口语交际,010002001012045008
010002001012045009001,12、地球清洁师,课文（四）,010002001012045009
010002001012045009002,13、从森林里带走什么,课文（四）,010002001012045009
010002001012045009003,14、水从哪里来,课文（四）,010002001012045009
010002001012045009004,15、森林气象站,课文（四）,010002001012045009
010002001012045009005,写话,课文（四）,010002001012045009
010002001012045009006,语文活动5,课文（四）,010002001012045009
010002001012045009007,单元复习,课文（四）,010002001012045009
010002001012045010001,识字5,识字（二）,010002001012045010
010002001012045010002,识字6,识字（二）,010002001012045010
010002001012045010003,识字7,识字（二）,010002001012045010
010002001012045010004,识字8,识字（二）,010002001012045010
010002001012045010005,语文活动6,识字（二）,010002001012045010
010002001012045010006,单元复习,识字（二）,010002001012045010
010002001012045011001,我想知道,口语交际,010002001012045011
010002001012045012001,16、古诗二首,课文（五）,010002001012045012
010002001012045012002,17、神农尝百草,课文（五）,010002001012045012
010002001012045012003,18、聪明的小包拯,课文（五）,010002001012045012
010002001012045012004,写话,课文（五）,010002001012045012
010002001012045012005,语文活动7,课文（五）,010002001012045012
010002001012045012006,单元复习,课文（五）,010002001012045012
010002001012045013001,他们在说什么,口语交际,010002001012045013
010002001012045014001,19、摘月亮,课文（六）,010002001012045014
010002001012045014002,20、月亮姑娘,课文（六）,010002001012045014
010002001012045014003,21、森林旅馆,课文（六）,010002001012045014
010002001012045014004,22、神奇的桥,课文（六）,010002001012045014
010002001012045014005,写话,课文（六）,010002001012045014
010002001012045014006,语文活动8,课文（六）,010002001012045014
010002001012045014007,单元复习,课文（六）,010002001012045014
010002001012045015001,小小画展,口语交际,010002001012045015
010002001012045016001,23、太阳是大家的,课文（七）,010002001012045016
010002001012045016002,24、世界之窗,课文（七）,010002001012045016
010002001012045016003,25、爱斯基摩人的冰屋,课文（七）,010002001012045016
010002001012045016004,26、八个鸡蛋,课文（七）,010002001012045016
010002001012045016005,写话,课文（七）,010002001012045016
010002001012045016006,语文活动9,课文（七）,010002001012045016
010002001012045016007,单元复习,课文（七）,010002001012045016
010002001012045017001,冬天里,口语交际,010002001012045017
010002001012045018001,27、雪,课文（八）,010002001012045018
010002001012045018002,28、好心的小雪人,课文（八）,010002001012045018
010002001012045018003,29、动物学校放寒假,课文（八）,010002001012045018
010002001012045018004,30、网上拜年,课文（八）,010002001012045018
010002001012045018005,写话,课文（八）,010002001012045018
010002001012045018006,语文活动10,课文（八）,010002001012045018
010002001012045018007,单元复习,课文（八）,010002001012045018
010002001012045019001,期中复习,期中,010002001012045019
010002001012045020001,期末复习,期末,010002001012045020
