119483,汉语拼音,119480
119484,课文 1,119480
119528,课文 2,119480
119529,课文 3,119480
119530,课文 4,119480
128316,课文 1,128314
128317,课文 2,128314
128318,课文 3,128314
128320,课文 4,128314
128321,课文 5,128314
128322,课文 6,128314
132949,课文1,132948
132950,识字,132948
132951,课文2,132948
132952,课文3,132948
132953,课文4,132948
132954,课文5,132948
132955,课文6,132948
132956,课文7,132948
139444,课文1,139442
139446,课文2,139442
139450,课文3,139442
139452,课文4,139442
139454,课文5,139442
139456,课文6,139442
139458,课文7,139442
7790,第一组,7745
7791,第二组,7745
7792,第三组,7745
7793,第四组,7745
7794,第五组,7745
7795,第六组,7745
7796,第七组,7745
7797,第八组,7745
7798,第一组,7746
7799,第二组,7746
7800,第三组,7746
7801,第四组,7746
7802,第五组,7746
7803,第六组,7746
7804,第七组,7746
7805,第八组,7746
7806,第一组,7747
7815,第二组,7747
7816,第三组,7747
7825,第四组,7747
7826,第五组,7747
7835,第六组,7747
7836,第七组,7747
7845,第八组,7747
7807,第一组,7748
7814,第二组,7748
7817,第三组,7748
7824,第四组,7748
7827,第五组,7748
7834,第六组,7748
7837,第七组,7748
7844,第八组,7748
7808,第一组,7749
7813,第二组,7749
7818,第三组,7749
7823,第四组,7749
7828,第五组,7749
7833,第六组,7749
7838,第七组,7749
7843,第八组,7749
7809,第一组,7750
7812,第二组,7750
7819,第三组,7750
7822,第四组,7750
7829,第五组,7750
7832,第六组,7750
7839,第七组,7750
7842,第八组,7750
7810,第一组,7751
7811,第二组,7751
7820,第三组,7751
7821,第四组,7751
7830,第五组,7751
7831,第六组,7751
7840,第七组,7751
7841,第八组,7751
46034,第一组,42974
46035,第二组,42974
46036,第三组,42974
46037,第四组,42974
46038,第五组,42974
7752,汉语拼音,7741
84298,识字（一）,7741
7757,课文 1,7741
7758,课文 2,7741
7759,识字（二）,7741
7760,课文 3,7741
7761,课文 4,7741
7763,第一单元,7742
7764,第二单元,7742
7765,第三单元,7742
7766,第四单元,7742
7767,第五单元,7742
7768,第六单元,7742
7769,第七单元,7742
7770,第八单元,7742
7773,第一单元,7743
7775,第二单元,7743
7776,第三单元,7743
7777,第四单元,7743
7778,第五单元,7743
7779,第六单元,7743
7780,第七单元,7743
7781,第八单元,7743
7774,第一组,7744
7783,第二组,7744
7784,第三组,7744
7785,第四组,7744
7786,第五组,7744
7787,第六组,7744
7788,第七组,7744
7789,第八组,7744
20929,第一单元,13140
20930,第二单元,13140
20931,第三单元,13140
20932,第四单元,13140
20933,第五单元,13140
20934,第六单元,13140
20935,第七单元,13140
20973,第八单元,13140
20979,第一单元,13139
20980,第二单元,13139
20981,第三单元,13139
20982,第四单元,13139
20983,第五单元,13139
20984,第六单元,13139
20985,第七单元,13139
20986,第八单元,13139
21030,第一单元,13138
21031,第二单元,13138
21032,第三单元,13138
21033,第四单元,13138
21034,第五单元,13138
21035,第六单元,13138
21036,第七单元,13138
21077,第一单元,13137
21078,第二单元,13137
21079,第三单元,13137
21080,第四单元,13137
21081,第五单元,13137
21082,第六单元,13137
21083,第七单元,13137
21122,第一单元,13136
21123,第二单元,13136
21124,第三单元,13136
21125,第四单元,13136
21126,第五单元,13136
21127,第六单元,13136
21128,第七单元,13136
21171,第一单元,13135
21172,第二单元,13135
21173,第三单元,13135
21174,第四单元,13135
21175,第五单元,13135
21176,第六单元,13135
21177,第七单元,13135
21214,第一单元,13133
21215,第二单元,13133
21216,第三单元,13133
21217,第四单元,13133
21218,第五单元,13133
21219,第六单元,13133
21220,第七单元,13133
21254,第一单元,13134
21255,第二单元,13134
21256,第三单元,13134
21257,第四单元,13134
21258,第五单元,13134
21259,第六单元,13134
21260,第七单元,13134
20773,培养良好的习惯（2）","hasChild":false},{"id":"20766","title":"第一单元,13143
20767,第二单元,13143
20768,第三单元,13143
20770,第四单元,13143
20771,第五单元,13143
20772,第六单元,13143
20833,第一单元,13142
20834,第二单元,13142
